                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
             512       4   910797   699322  2424328  2265742  1437592  1187895  1446306   1375881   1629590  1605228  1575781  2337255  1467055
             512       4  1066380  1718254  2143612  1985091  1463057  1130370  1399189   1305615   1399189  1556366  1510391  2370799  2753870
             512       4   817837  1642050  1931527  2124526  1684557  1351633  1599251   1471074   1652157  1372364  1402845  2141475  1179413
             512       4   790153  1620980  2081286  2032051  1459080  1196499  1446306   1347393   1463057  1527582  1454140  1947291  2169601
             512       4   970041  1605228  2584820  2275345  1619757  1108203   579804   1413929   1219602  1610042  1630828  2225819  2235086
             512       4   887461  1861217  2463259  1789859  1546280  1165966  1475116   1399189   1446306  1795846  1531941  2141475  1977778
             512       4  1034530  1741948  2394591  2207515  1410215  1286067  1575781   1450212   1604029  1718254  1551867  2307123  2216629
             512       4  1021732  1355045   568899  1961520  1640796  1422357  1533034   1467055   1433753   735740  1463057  1917728  2132967
             512       4   854615  1589779  2317080  1897396  1463057  1289156  1514652   1778004   1506154  1446306  1375881  1945526  2327124
             512       4   863551  1725155  2509312  2107844  1537424  1550747  1614885   1467055   1501940  1537424  1216149  2124526  2047551
